Timestamp,Machine_ID,Operator_ID,Engine_Hours,Fuel_Used_L,Load_Cycles,Idling_Time_min,Seatbelt_Status,Proximity_Hazard,Safety_Alert_Triggered,Working_Condition,Incident_Logged,Unsafe_Operation,Task_Type,Weather,Operator_Skill,Machine_Age_yrs,Estimated_Time_min,Actual_Time_min
2025-05-01 08:00:00,EXC003,OP1003,1877.8,6.52,12,22.6,Fastened,No,No,Normal,No,No,Material Loading,Sunny,Intermediate,3,32.2,29.5
2025-05-01 08:30:00,LOD002,OP1009,2652.1,5.89,9,43.1,Fastened,No,No,Normal,No,No,Demolition,Sunny,Intermediate,6,91.9,99.8
2025-05-01 09:00:00,LOD001,OP1005,3023.4,4.01,5,11.6,Fastened,No,No,Low Visibility,No,No,Trenching,Cloudy,Intermediate,4,48.1,45.0
2025-05-01 09:30:00,EXC005,OP1008,4211.7,5.52,10,16.6,Fastened,Yes,Yes,Dry Ground,No,Yes,Grading,Sunny,Intermediate,7,37.5,42.2
2025-05-01 10:00:00,EXC001,OP1007,1525.2,5.64,11,18.4,Fastened,No,No,Normal,No,No,Earth Excavation,Cloudy,Beginner,2,76.9,77.1
2025-05-01 10:30:00,EXC001,OP1008,1527.2,5.9,10,23.2,Fastened,No,No,Low Visibility,No,No,Grading,Cloudy,Intermediate,2,37.4,38.4
2025-05-01 11:00:00,EXC001,OP1007,1528.3,6.4,12,35.3,Fastened,No,No,Normal,No,No,Earth Excavation,Cloudy,Intermediate,2,62.6,69.1
2025-05-01 11:30:00,LOD002,OP1003,2652.3,5.65,10,3.0,Fastened,Yes,Yes,Normal,No,Yes,Demolition,Sunny,Intermediate,6,93.3,96.8
2025-05-01 12:00:00,EXC005,OP1002,4213.9,7.23,13,29.8,Fastened,No,No,Normal,No,No,Earth Excavation,Sunny,Intermediate,7,66.0,65.5
2025-05-01 12:30:00,EXC005,OP1007,4214.9,7.07,8,55.5,Fastened,No,No,Dry Ground,No,No,Grading,Sunny,Intermediate,7,36.7,42.2
2025-05-01 13:00:00,EXC001,OP1003,1529.7,7.1,13,48.9,Fastened,No,Yes,Reduced Visibility,No,No,Earth Excavation,Rainy,Intermediate,2,68.7,77.7
