Task_ID,Task_Type,Weather,Operator_Skill,Machine_Age_yrs,Estimated_Time_min,Actual_Time_min
T0001,Trenching,Cloudy,Intermediate,5,48.6,50.9
T0002,Demolition,Cloudy,Intermediate,2,89.2,100.0
T0003,Grading,Sunny,Expert,1,34.4,37.2
T0004,Material Loading,Rainy,Intermediate,9,29.4,50.8
T0005,Earth Excavation,Rainy,Intermediate,2,64.6,76.7
T0006,Earth Excavation,Cloudy,Expert,6,62.2,64.1
T0007,Earth Excavation,Windy,Intermediate,1,59.9,76.3
T0008,Demolition,Sunny,Beginner,1,97.4,105.8
T0009,Material Loading,Cloudy,Intermediate,9,37.4,49.5
T0010,Grading,Sunny,Intermediate,4,35.0,38.3
T0011,Earth Excavation,Rainy,Expert,9,62.7,76.2
T0012,Demolition,Sunny,Expert,5,93.3,92.1
T0013,Grading,Sunny,Expert,7,40.8,35.1
T0014,Earth Excavation,Sunny,Intermediate,1,65.8,73.3
T0015,Earth Excavation,Rainy,Intermediate,6,58.2,75.2
T0016,Earth Excavation,Sunny,Expert,8,66.2,68.4
T0017,Trenching,Cloudy,Beginner,1,48.2,66.3
T0018,Material Loading,Sunny,Intermediate,9,32.1,40.8
T0019,Trenching,Sunny,Intermediate,3,45.4,48.6
T0020,Trenching,Cloudy,Beginner,1,40.6,45.0
T0021,Material Loading,Sunny,Intermediate,1,29.0,34.0
T0022,Earth Excavation,Sunny,Expert,6,63.7,62.8
T0023,Trenching,Cloudy,Expert,6,52.8,56.6
T0024,Trenching,Sunny,Beginner,1,50.6,62.3
T0025,Trenching,Sunny,Beginner,3,43.4,48.3
T0026,Grading,Sunny,Intermediate,7,42.9,53.4
T0027,Earth Excavation,Windy,Expert,10,59.2,59.0
T0028,Material Loading,Cloudy,Beginner,3,29.7,35.4
T0029,Material Loading,Cloudy,Expert,3,30.6,32.0
T0030,Earth Excavation,Cloudy,Beginner,3,62.3,78.0
T0031,Material Loading,Sunny,Intermediate,7,33.8,46.7
T0032,Earth Excavation,Sunny,Intermediate,4,63.1,65.1
T0033,Earth Excavation,Cloudy,Expert,4,61.5,61.9
T0034,Demolition,Sunny,Intermediate,3,94.4,102.0
T0035,Demolition,Sunny,Intermediate,10,97.1,107.1
T0036,Grading,Sunny,Intermediate,9,38.6,45.1
T0037,Trenching,Sunny,Expert,2,48.5,44.7
T0038,Earth Excavation,Windy,Expert,4,68.2,75.3
T0039,Grading,Sunny,Beginner,8,37.0,57.7
T0040,Trenching,Rainy,Expert,6,53.0,56.1
T0041,Earth Excavation,Sunny,Intermediate,7,61.7,70.7
T0042,Material Loading,Windy,Beginner,7,37.7,52.6
T0043,Earth Excavation,Sunny,Intermediate,2,59.4,64.8
T0044,Demolition,Sunny,Intermediate,4,94.3,95.9
T0045,Earth Excavation,Cloudy,Expert,10,65.5,65.4
T0046,Material Loading,Cloudy,Expert,10,29.6,32.9
T0047,Trenching,Sunny,Beginner,6,53.7,64.6
T0048,Material Loading,Sunny,Intermediate,3,28.8,34.9
T0049,Material Loading,Sunny,Expert,9,30.7,32.5
T0050,Earth Excavation,Sunny,Expert,4,60.1,65.7
T0051,Demolition,Sunny,Intermediate,10,102.6,114.0
T0052,Grading,Rainy,Expert,2,32.2,38.8
T0053,Demolition,Sunny,Intermediate,6,93.5,102.7
T0054,Demolition,Sunny,Intermediate,1,87.1,96.3
T0055,Material Loading,Cloudy,Expert,6,30.1,32.4
T0056,Demolition,Windy,Intermediate,10,90.2,105.0
T0057,Earth Excavation,Rainy,Intermediate,1,61.4,76.0
T0058,Earth Excavation,Sunny,Intermediate,8,63.5,80.8
T0059,Earth Excavation,Sunny,Expert,5,59.1,53.9
T0060,Trenching,Windy,Expert,6,50.6,56.2
T0061,Trenching,Sunny,Intermediate,2,48.9,54.6
T0062,Earth Excavation,Sunny,Intermediate,2,62.2,68.8
T0063,Grading,Rainy,Intermediate,9,43.0,53.5
T0064,Trenching,Rainy,Intermediate,3,45.5,58.2
T0065,Trenching,Cloudy,Intermediate,6,49.0,53.8
T0066,Material Loading,Sunny,Expert,10,34.0,37.2
T0067,Earth Excavation,Sunny,Intermediate,5,58.0,66.7
T0068,Grading,Windy,Intermediate,4,37.7,49.8
T0069,Earth Excavation,Sunny,Beginner,10,65.5,84.2
T0070,Demolition,Cloudy,Intermediate,2,90.9,94.4
T0071,Grading,Cloudy,Expert,8,40.1,45.9
T0072,Earth Excavation,Rainy,Intermediate,10,69.2,93.1
T0073,Earth Excavation,Sunny,Intermediate,7,62.9,62.1
T0074,Grading,Sunny,Intermediate,2,33.1,32.9
T0075,Grading,Rainy,Intermediate,6,37.3,63.3
T0076,Grading,Cloudy,Beginner,8,38.6,59.4
T0077,Grading,Windy,Intermediate,7,41.5,58.6
T0078,Earth Excavation,Sunny,Intermediate,1,60.8,64.4
T0079,Trenching,Sunny,Intermediate,5,44.1,54.2
T0080,Earth Excavation,Windy,Intermediate,2,63.4,71.5
T0081,Demolition,Cloudy,Intermediate,6,94.9,100.7
T0082,Material Loading,Windy,Expert,7,33.8,47.8
T0083,Trenching,Sunny,Intermediate,7,51.3,64.9
T0084,Earth Excavation,Rainy,Intermediate,3,64.8,76.9
T0085,Trenching,Cloudy,Intermediate,7,47.4,51.6
T0086,Trenching,Cloudy,Intermediate,5,44.8,59.0
T0087,Grading,Sunny,Expert,8,39.0,38.2
T0088,Material Loading,Sunny,Intermediate,8,35.6,36.7
T0089,Demolition,Rainy,Expert,7,93.2,103.1
T0090,Material Loading,Sunny,Beginner,6,30.0,40.2
T0091,Earth Excavation,Rainy,Intermediate,2,61.5,74.1
T0092,Grading,Windy,Expert,6,31.9,42.6
T0093,Grading,Sunny,Intermediate,9,38.5,52.2
T0094,Material Loading,Cloudy,Intermediate,2,33.6,40.7
T0095,Grading,Sunny,Intermediate,1,38.2,45.0
T0096,Material Loading,Cloudy,Expert,5,21.2,23.6
T0097,Material Loading,Windy,Beginner,6,32.4,48.5
T0098,Trenching,Sunny,Expert,3,48.3,44.1
T0099,Earth Excavation,Sunny,Intermediate,8,60.5,68.4
T0100,Earth Excavation,Sunny,Expert,7,62.4,61.6
T0101,Earth Excavation,Sunny,Intermediate,2,64.6,68.4
T0102,Material Loading,Cloudy,Expert,7,32.0,35.2
T0103,Trenching,Windy,Intermediate,1,50.3,55.5
